p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.61E-225,2.595310667,0.844,0.375,1.36E-220,Unciliated epithelium RIF-1 Vs Ctrl,FABP5
4.61E-145,2.128679534,0.826,0.416,8.24E-141,Unciliated epithelium RIF-1 Vs Ctrl,TFF3
6.91E-291,1.518569909,0.97,0.848,1.23E-286,Unciliated epithelium RIF-1 Vs Ctrl,RPS26
0,1.481343042,0.991,0.945,0,Unciliated epithelium RIF-1 Vs Ctrl,RPL37A
3.52E-173,1.439037434,0.771,0.306,6.30E-169,Unciliated epithelium RIF-1 Vs Ctrl,ALDH1A1
4.77E-220,1.352834982,0.9,0.56,8.52E-216,Unciliated epithelium RIF-1 Vs Ctrl,EIF5A
5.05E-193,1.326475774,0.917,0.66,9.02E-189,Unciliated epithelium RIF-1 Vs Ctrl,RPS20
1.11E-95,1.3186085,0.414,0.11,1.98E-91,Unciliated epithelium RIF-1 Vs Ctrl,CXCL8
5.11E-60,1.302850594,0.675,0.393,9.13E-56,Unciliated epithelium RIF-1 Vs Ctrl,H4C3
2.12E-285,1.288807496,0.979,0.943,3.79E-281,Unciliated epithelium RIF-1 Vs Ctrl,RPL27A
1.27E-172,1.246199164,0.795,0.318,2.27E-168,Unciliated epithelium RIF-1 Vs Ctrl,NQO1
4.89E-180,1.244746655,0.973,0.897,8.74E-176,Unciliated epithelium RIF-1 Vs Ctrl,HMGB1
6.08E-136,1.24003685,0.311,0.028,1.09E-131,Unciliated epithelium RIF-1 Vs Ctrl,MMP10
6.11E-140,1.232846296,0.917,0.693,1.09E-135,Unciliated epithelium RIF-1 Vs Ctrl,HMGN2
3.38E-124,1.205133797,0.78,0.414,6.03E-120,Unciliated epithelium RIF-1 Vs Ctrl,CAV1
1.52E-234,1.195575157,0.971,0.837,2.72E-230,Unciliated epithelium RIF-1 Vs Ctrl,TMA7
8.05E-82,1.195002157,0.696,0.424,1.44E-77,Unciliated epithelium RIF-1 Vs Ctrl,HES1
1.66E-299,1.178662994,0.989,0.966,2.96E-295,Unciliated epithelium RIF-1 Vs Ctrl,RPLP2
2.68E-280,1.170242081,0.991,0.948,4.78E-276,Unciliated epithelium RIF-1 Vs Ctrl,RPS29
2.94E-176,1.160285305,0.973,0.928,5.25E-172,Unciliated epithelium RIF-1 Vs Ctrl,HSP90AA1
9.02E-181,1.158898576,0.906,0.619,1.61E-176,Unciliated epithelium RIF-1 Vs Ctrl,SLIRP
1.50E-175,1.131353396,0.913,0.694,2.68E-171,Unciliated epithelium RIF-1 Vs Ctrl,SNRPF
2.06E-156,1.110755068,0.912,0.723,3.68E-152,Unciliated epithelium RIF-1 Vs Ctrl,SNRPG
8.09E-121,1.105915994,0.943,0.801,1.45E-116,Unciliated epithelium RIF-1 Vs Ctrl,CAPS
9.34E-182,1.100927157,0.658,0.18,1.67E-177,Unciliated epithelium RIF-1 Vs Ctrl,CENPW
5.90E-173,1.098299672,0.998,0.962,1.05E-168,Unciliated epithelium RIF-1 Vs Ctrl,S100A6
3.99E-160,1.048288069,0.787,0.378,7.13E-156,Unciliated epithelium RIF-1 Vs Ctrl,RPS17
2.77E-151,1.045078824,0.694,0.235,4.95E-147,Unciliated epithelium RIF-1 Vs Ctrl,PCLAF
3.38E-211,1.030560171,0.959,0.853,6.04E-207,Unciliated epithelium RIF-1 Vs Ctrl,RPL38
1.35E-111,1.029640291,0.873,0.656,2.42E-107,Unciliated epithelium RIF-1 Vs Ctrl,RANBP1
3.64E-62,1.003526404,0.535,0.259,6.50E-58,Unciliated epithelium RIF-1 Vs Ctrl,CXCL2
1.20E-132,0.98673274,0.406,0.067,2.15E-128,Unciliated epithelium RIF-1 Vs Ctrl,FGFBP1
5.73E-149,0.967520831,0.955,0.885,1.02E-144,Unciliated epithelium RIF-1 Vs Ctrl,RPL23
1.49E-165,0.962799922,0.914,0.639,2.66E-161,Unciliated epithelium RIF-1 Vs Ctrl,TXNDC17
9.79E-85,0.958579312,0.912,0.803,1.75E-80,Unciliated epithelium RIF-1 Vs Ctrl,TUBA1B
2.54E-137,0.952249566,0.899,0.71,4.54E-133,Unciliated epithelium RIF-1 Vs Ctrl,SNRPE
8.85E-87,0.9359607,0.747,0.419,1.58E-82,Unciliated epithelium RIF-1 Vs Ctrl,CKS2
4.59E-112,0.93595831,0.817,0.429,8.20E-108,Unciliated epithelium RIF-1 Vs Ctrl,MSX1
8.56E-134,0.928029556,0.933,0.796,1.53E-129,Unciliated epithelium RIF-1 Vs Ctrl,HSPE1
1.63E-64,0.92415663,0.722,0.47,2.92E-60,Unciliated epithelium RIF-1 Vs Ctrl,HSPA1A
1.13E-91,0.921658963,0.973,0.946,2.02E-87,Unciliated epithelium RIF-1 Vs Ctrl,H2AZ1
2.24E-130,0.919978601,0.883,0.614,4.00E-126,Unciliated epithelium RIF-1 Vs Ctrl,NDUFB1
1.17E-123,0.919915085,0.896,0.718,2.09E-119,Unciliated epithelium RIF-1 Vs Ctrl,ATP5MC1
2.40E-101,0.917170568,0.61,0.239,4.30E-97,Unciliated epithelium RIF-1 Vs Ctrl,PTTG1
2.68E-132,0.914544811,0.904,0.676,4.79E-128,Unciliated epithelium RIF-1 Vs Ctrl,POLR2L
1.35E-126,0.909881736,0.873,0.623,2.41E-122,Unciliated epithelium RIF-1 Vs Ctrl,COPS9
1.51E-195,0.909353221,0.98,0.931,2.70E-191,Unciliated epithelium RIF-1 Vs Ctrl,ATP5F1E
1.19E-138,0.906099181,0.875,0.603,2.13E-134,Unciliated epithelium RIF-1 Vs Ctrl,NDUFC1
1.39E-145,0.90117131,0.927,0.774,2.49E-141,Unciliated epithelium RIF-1 Vs Ctrl,ATP5ME
3.28E-38,0.900391421,0.681,0.508,5.87E-34,Unciliated epithelium RIF-1 Vs Ctrl,PPP1R15A
5.53E-97,0.899412601,0.87,0.623,9.89E-93,Unciliated epithelium RIF-1 Vs Ctrl,S100A16
1.37E-104,0.893864081,0.762,0.401,2.44E-100,Unciliated epithelium RIF-1 Vs Ctrl,IL1R1
2.47E-113,0.882779061,0.608,0.203,4.42E-109,Unciliated epithelium RIF-1 Vs Ctrl,IFI27
4.08E-120,0.879045679,0.678,0.271,7.29E-116,Unciliated epithelium RIF-1 Vs Ctrl,ACAT2
1.63E-129,0.87659728,0.889,0.614,2.91E-125,Unciliated epithelium RIF-1 Vs Ctrl,NDUFA1
3.73E-38,0.867474939,0.64,0.425,6.66E-34,Unciliated epithelium RIF-1 Vs Ctrl,THSD4
1.17E-136,0.867171504,0.943,0.833,2.10E-132,Unciliated epithelium RIF-1 Vs Ctrl,DBI
1.06E-112,0.864702275,0.919,0.748,1.89E-108,Unciliated epithelium RIF-1 Vs Ctrl,FDPS
4.74E-106,0.86458467,0.519,0.164,8.47E-102,Unciliated epithelium RIF-1 Vs Ctrl,CCNB1
5.33E-144,0.863713082,0.413,0.064,9.53E-140,Unciliated epithelium RIF-1 Vs Ctrl,ANKFN1
2.32E-144,0.86345298,0.96,0.83,4.15E-140,Unciliated epithelium RIF-1 Vs Ctrl,CALM1
9.26E-235,0.863364418,0.993,0.981,1.65E-230,Unciliated epithelium RIF-1 Vs Ctrl,RPL37
1.18E-115,0.854298523,0.503,0.133,2.10E-111,Unciliated epithelium RIF-1 Vs Ctrl,CENPF
1.73E-153,0.852965882,0.955,0.832,3.09E-149,Unciliated epithelium RIF-1 Vs Ctrl,ATP5IF1
5.15E-81,0.849969631,0.696,0.383,9.20E-77,Unciliated epithelium RIF-1 Vs Ctrl,HSPH1
3.40E-175,0.847536752,0.999,0.992,6.07E-171,Unciliated epithelium RIF-1 Vs Ctrl,PTMA
3.55E-88,0.845790868,0.783,0.486,6.34E-84,Unciliated epithelium RIF-1 Vs Ctrl,TMEM141
2.49E-94,0.845644026,0.902,0.696,4.44E-90,Unciliated epithelium RIF-1 Vs Ctrl,LGALS1
1.61E-133,0.843034045,0.928,0.81,2.88E-129,Unciliated epithelium RIF-1 Vs Ctrl,UQCR10
5.94E-107,0.841874619,0.924,0.764,1.06E-102,Unciliated epithelium RIF-1 Vs Ctrl,NUCKS1
5.24E-99,0.840755993,0.798,0.493,9.36E-95,Unciliated epithelium RIF-1 Vs Ctrl,HNRNPAB
9.90E-100,0.837206418,0.649,0.291,1.77E-95,Unciliated epithelium RIF-1 Vs Ctrl,HSPA1B
7.34E-92,0.820204154,0.967,0.95,1.31E-87,Unciliated epithelium RIF-1 Vs Ctrl,PKM
1.08E-151,0.81622149,0.536,0.119,1.94E-147,Unciliated epithelium RIF-1 Vs Ctrl,BIRC5
1.74E-98,0.815159355,0.894,0.706,3.11E-94,Unciliated epithelium RIF-1 Vs Ctrl,LSM4
1.99E-69,0.809306557,0.521,0.226,3.55E-65,Unciliated epithelium RIF-1 Vs Ctrl,HMGB2
2.63E-112,0.807433956,0.876,0.617,4.70E-108,Unciliated epithelium RIF-1 Vs Ctrl,ATP5MF
3.10E-122,0.806133229,0.946,0.838,5.53E-118,Unciliated epithelium RIF-1 Vs Ctrl,ATP5MK
1.84E-105,0.803029846,0.88,0.645,3.29E-101,Unciliated epithelium RIF-1 Vs Ctrl,HNRNPM
7.60E-134,0.798540697,0.964,0.943,1.36E-129,Unciliated epithelium RIF-1 Vs Ctrl,RPS11
1.37E-145,0.797850065,0.433,0.071,2.45E-141,Unciliated epithelium RIF-1 Vs Ctrl,SPINK5
2.71E-93,0.796529016,0.451,0.127,4.84E-89,Unciliated epithelium RIF-1 Vs Ctrl,TOP2A
1.70E-89,0.796489984,0.721,0.389,3.03E-85,Unciliated epithelium RIF-1 Vs Ctrl,CENPX
2.18E-117,0.796439682,0.767,0.382,3.89E-113,Unciliated epithelium RIF-1 Vs Ctrl,RPL36A
2.00E-114,0.783889607,0.953,0.862,3.58E-110,Unciliated epithelium RIF-1 Vs Ctrl,HNRNPA2B1
1.72E-135,0.783767371,0.955,0.952,3.07E-131,Unciliated epithelium RIF-1 Vs Ctrl,RPL21
1.26E-179,0.783714707,0.985,0.97,2.25E-175,Unciliated epithelium RIF-1 Vs Ctrl,RPL35
5.81E-41,0.781490731,0.681,0.467,1.04E-36,Unciliated epithelium RIF-1 Vs Ctrl,NFKB1
1.10E-110,0.77971262,0.932,0.822,1.97E-106,Unciliated epithelium RIF-1 Vs Ctrl,UQCRQ
1.40E-119,0.778210265,0.943,0.82,2.50E-115,Unciliated epithelium RIF-1 Vs Ctrl,UBL5
3.18E-75,0.776845148,0.753,0.491,5.68E-71,Unciliated epithelium RIF-1 Vs Ctrl,DUT
4.67E-68,0.772982134,0.13,0.005,8.34E-64,Unciliated epithelium RIF-1 Vs Ctrl,OLFM4
4.01E-127,0.764878334,0.946,0.823,7.17E-123,Unciliated epithelium RIF-1 Vs Ctrl,ATP5MG
4.71E-96,0.763769981,0.657,0.284,8.42E-92,Unciliated epithelium RIF-1 Vs Ctrl,IGFBP4
2.77E-93,0.763318889,0.885,0.673,4.96E-89,Unciliated epithelium RIF-1 Vs Ctrl,ACTN4
1.46E-80,0.762682543,0.8,0.473,2.61E-76,Unciliated epithelium RIF-1 Vs Ctrl,MT-ATP8
5.20E-111,0.760364019,0.607,0.216,9.28E-107,Unciliated epithelium RIF-1 Vs Ctrl,TK1
4.69E-100,0.75543508,0.89,0.713,8.39E-96,Unciliated epithelium RIF-1 Vs Ctrl,NDUFB2
6.77E-99,0.752872449,0.923,0.755,1.21E-94,Unciliated epithelium RIF-1 Vs Ctrl,TPM3
1.88E-70,0.751982911,0.587,0.271,3.35E-66,Unciliated epithelium RIF-1 Vs Ctrl,S100A2
4.33E-49,0.744624061,0.712,0.489,7.74E-45,Unciliated epithelium RIF-1 Vs Ctrl,UBE2S
2.33E-58,0.736177933,0.545,0.251,4.17E-54,Unciliated epithelium RIF-1 Vs Ctrl,CREB3L1
7.28E-69,0.734782881,0.368,0.11,1.30E-64,Unciliated epithelium RIF-1 Vs Ctrl,UBE2C
5.38E-87,0.732734947,0.917,0.815,9.62E-83,Unciliated epithelium RIF-1 Vs Ctrl,HSPD1
7.78E-150,0.732491919,0.966,0.945,1.39E-145,Unciliated epithelium RIF-1 Vs Ctrl,RPL27
1.55E-80,0.727687779,0.784,0.501,2.77E-76,Unciliated epithelium RIF-1 Vs Ctrl,COX17
1.96E-86,0.725380014,0.754,0.416,3.49E-82,Unciliated epithelium RIF-1 Vs Ctrl,EBP
2.29E-75,0.724750328,0.747,0.478,4.09E-71,Unciliated epithelium RIF-1 Vs Ctrl,PA2G4
2.16E-116,0.723987618,0.934,0.859,3.87E-112,Unciliated epithelium RIF-1 Vs Ctrl,TMEM258
2.22E-55,0.723595728,0.979,0.967,3.96E-51,Unciliated epithelium RIF-1 Vs Ctrl,MT-ND3
2.40E-107,0.718912422,0.427,0.099,4.30E-103,Unciliated epithelium RIF-1 Vs Ctrl,CDC20
2.27E-68,0.716848938,0.674,0.384,4.06E-64,Unciliated epithelium RIF-1 Vs Ctrl,DTYMK
2.63E-102,0.715818508,0.433,0.109,4.69E-98,Unciliated epithelium RIF-1 Vs Ctrl,MKI67
8.81E-68,0.713750719,0.763,0.517,1.57E-63,Unciliated epithelium RIF-1 Vs Ctrl,NASP
2.15E-51,0.711639534,0.204,0.044,3.84E-47,Unciliated epithelium RIF-1 Vs Ctrl,LTF
3.83E-94,0.711237386,0.471,0.145,6.84E-90,Unciliated epithelium RIF-1 Vs Ctrl,RCAN1
2.26E-92,0.704888711,0.661,0.308,4.04E-88,Unciliated epithelium RIF-1 Vs Ctrl,TIMM10
2.51E-174,0.698270096,0.993,0.992,4.49E-170,Unciliated epithelium RIF-1 Vs Ctrl,RPL41
5.08E-72,0.697178219,0.617,0.296,9.08E-68,Unciliated epithelium RIF-1 Vs Ctrl,SFN
1.76E-61,0.696559736,0.879,0.712,3.15E-57,Unciliated epithelium RIF-1 Vs Ctrl,TUBB4B
6.41E-87,0.692556802,0.913,0.793,1.15E-82,Unciliated epithelium RIF-1 Vs Ctrl,COX8A
1.74E-133,0.686838536,0.961,0.944,3.10E-129,Unciliated epithelium RIF-1 Vs Ctrl,COX7C
2.05E-215,0.686405342,0.479,0.044,3.66E-211,Unciliated epithelium RIF-1 Vs Ctrl,TUSC3
1.99E-77,0.685508708,0.836,0.58,3.55E-73,Unciliated epithelium RIF-1 Vs Ctrl,ROMO1
1.62E-68,0.68463486,0.883,0.736,2.90E-64,Unciliated epithelium RIF-1 Vs Ctrl,C1QBP
7.56E-109,0.678444842,0.592,0.195,1.35E-104,Unciliated epithelium RIF-1 Vs Ctrl,SPDEF
7.53E-74,0.675424727,0.814,0.567,1.35E-69,Unciliated epithelium RIF-1 Vs Ctrl,MICOS10
2.81E-82,0.666569773,0.892,0.72,5.02E-78,Unciliated epithelium RIF-1 Vs Ctrl,NDUFC2
2.13E-54,0.666027497,0.522,0.262,3.80E-50,Unciliated epithelium RIF-1 Vs Ctrl,H2AX
5.06E-67,0.663891808,0.769,0.515,9.04E-63,Unciliated epithelium RIF-1 Vs Ctrl,H2AZ2
1.74E-99,0.663476577,0.937,0.893,3.12E-95,Unciliated epithelium RIF-1 Vs Ctrl,COX7A2
3.02E-76,0.662059465,0.884,0.736,5.39E-72,Unciliated epithelium RIF-1 Vs Ctrl,EIF1AX
5.37E-80,0.662040852,0.875,0.694,9.60E-76,Unciliated epithelium RIF-1 Vs Ctrl,UQCR11
3.23E-33,0.660496276,0.295,0.121,5.77E-29,Unciliated epithelium RIF-1 Vs Ctrl,MUC5B
4.14E-86,0.659376719,0.917,0.828,7.40E-82,Unciliated epithelium RIF-1 Vs Ctrl,HNRNPA3
7.72E-105,0.658752496,0.45,0.117,1.38E-100,Unciliated epithelium RIF-1 Vs Ctrl,CDKN3
3.95E-61,0.658175847,0.78,0.549,7.05E-57,Unciliated epithelium RIF-1 Vs Ctrl,DEK
2.16E-81,0.655121218,0.898,0.744,3.86E-77,Unciliated epithelium RIF-1 Vs Ctrl,COX7B
7.92E-61,0.654426745,0.906,0.788,1.41E-56,Unciliated epithelium RIF-1 Vs Ctrl,NCL
2.94E-90,0.651477029,0.939,0.858,5.25E-86,Unciliated epithelium RIF-1 Vs Ctrl,OST4
2.93E-74,0.646497144,0.92,0.815,5.24E-70,Unciliated epithelium RIF-1 Vs Ctrl,TAGLN2
