p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.213323288,0.935,0.416,0,Uncilicated Epithelium RIF Vs Ctrl,TFF3
0,2.665988769,0.64,0.11,0,Uncilicated Epithelium RIF Vs Ctrl,CXCL8
2.48E-243,2.000327049,0.732,0.375,4.44E-239,Uncilicated Epithelium RIF Vs Ctrl,FABP5
1.01E-244,1.825525471,0.653,0.259,1.80E-240,Uncilicated Epithelium RIF Vs Ctrl,CXCL2
2.92E-299,1.74152765,0.823,0.508,5.22E-295,Uncilicated Epithelium RIF Vs Ctrl,PPP1R15A
4.59E-260,1.735458443,0.755,0.38,8.21E-256,Uncilicated Epithelium RIF Vs Ctrl,ATF3
6.95E-199,1.569065605,0.628,0.245,1.24E-194,Uncilicated Epithelium RIF Vs Ctrl,CXCL1
5.99E-266,1.546932745,0.485,0.067,1.07E-261,Uncilicated Epithelium RIF Vs Ctrl,FGFBP1
2.14E-216,1.491592269,0.731,0.424,3.82E-212,Uncilicated Epithelium RIF Vs Ctrl,HES1
7.03E-201,1.411428671,0.473,0.101,1.26E-196,Uncilicated Epithelium RIF Vs Ctrl,CCL20
8.43E-235,1.369401274,0.847,0.604,1.51E-230,Uncilicated Epithelium RIF Vs Ctrl,KLF6
2.06E-156,1.348435021,0.723,0.413,3.69E-152,Uncilicated Epithelium RIF Vs Ctrl,HMGCS1
6.70E-158,1.3434517,0.562,0.23,1.20E-153,Uncilicated Epithelium RIF Vs Ctrl,CXCL3
0,1.341029449,0.995,0.962,0,Uncilicated Epithelium RIF Vs Ctrl,S100A6
3.63E-190,1.331902716,0.728,0.399,6.49E-186,Uncilicated Epithelium RIF Vs Ctrl,TNFAIP3
5.12E-269,1.328847187,0.791,0.414,9.15E-265,Uncilicated Epithelium RIF Vs Ctrl,CAV1
2.29E-202,1.296706076,0.882,0.749,4.09E-198,Uncilicated Epithelium RIF Vs Ctrl,NFKBIA
7.05E-185,1.275501046,0.849,0.676,1.26E-180,Uncilicated Epithelium RIF Vs Ctrl,JUN
2.58E-180,1.250629893,0.749,0.467,4.61E-176,Uncilicated Epithelium RIF Vs Ctrl,NFKB1
1.71E-228,1.240365423,0.677,0.273,3.06E-224,Uncilicated Epithelium RIF Vs Ctrl,INSIG1
5.26E-269,1.23385399,0.467,0.064,9.39E-265,Uncilicated Epithelium RIF Vs Ctrl,SLC35F1
3.47E-130,1.173491141,0.255,0.028,6.20E-126,Uncilicated Epithelium RIF Vs Ctrl,MMP10
1.81E-164,1.13964403,0.813,0.624,3.23E-160,Uncilicated Epithelium RIF Vs Ctrl,DUSP1
3.11E-87,1.10613899,0.644,0.393,5.55E-83,Uncilicated Epithelium RIF Vs Ctrl,H4C3
1.49E-265,1.101508036,0.977,0.949,2.66E-261,Uncilicated Epithelium RIF Vs Ctrl,JUND
0,1.097776655,0.984,0.945,0,Uncilicated Epithelium RIF Vs Ctrl,RPL37A
1.42E-174,1.083771991,0.88,0.74,2.54E-170,Uncilicated Epithelium RIF Vs Ctrl,FOS
5.85E-242,1.080446321,0.906,0.748,1.05E-237,Uncilicated Epithelium RIF Vs Ctrl,FDPS
7.25E-183,1.065331553,0.742,0.417,1.30E-178,Uncilicated Epithelium RIF Vs Ctrl,RHOB
3.86E-187,1.049409194,0.722,0.377,6.90E-183,Uncilicated Epithelium RIF Vs Ctrl,IDI1
0,1.047074603,0.985,0.943,0,Uncilicated Epithelium RIF Vs Ctrl,RPL27A
2.43E-217,1.040827948,0.78,0.439,4.33E-213,Uncilicated Epithelium RIF Vs Ctrl,LDLR
2.55E-192,1.039391337,0.678,0.333,4.56E-188,Uncilicated Epithelium RIF Vs Ctrl,ZFP36
7.98E-122,1.034919624,0.89,0.697,1.43E-117,Uncilicated Epithelium RIF Vs Ctrl,SCD
2.37E-259,1.029532569,0.888,0.66,4.23E-255,Uncilicated Epithelium RIF Vs Ctrl,RPS20
1.40E-279,1.026894816,0.851,0.56,2.50E-275,Uncilicated Epithelium RIF Vs Ctrl,EIF5A
5.82E-220,1.022664384,0.664,0.271,1.04E-215,Uncilicated Epithelium RIF Vs Ctrl,ACAT2
1.95E-142,1.016267907,0.494,0.189,3.48E-138,Uncilicated Epithelium RIF Vs Ctrl,ITPKC
2.20E-148,1.00964473,0.623,0.306,3.94E-144,Uncilicated Epithelium RIF Vs Ctrl,ALDH1A1
3.50E-229,0.980259947,0.926,0.848,6.26E-225,Uncilicated Epithelium RIF Vs Ctrl,RPS26
9.90E-196,0.979144589,0.497,0.118,1.77E-191,Uncilicated Epithelium RIF Vs Ctrl,IL1A
0,0.973635846,0.999,0.992,0,Uncilicated Epithelium RIF Vs Ctrl,PTMA
1.28E-171,0.97015835,0.47,0.121,2.28E-167,Uncilicated Epithelium RIF Vs Ctrl,MUC5B
3.19E-224,0.967945541,0.767,0.38,5.70E-220,Uncilicated Epithelium RIF Vs Ctrl,FADS2
0,0.958595475,0.987,0.966,0,Uncilicated Epithelium RIF Vs Ctrl,RPLP2
1.79E-194,0.954657977,0.949,0.897,3.19E-190,Uncilicated Epithelium RIF Vs Ctrl,HMGB1
3.98E-170,0.944441041,0.629,0.275,7.12E-166,Uncilicated Epithelium RIF Vs Ctrl,MVD
3.45E-257,0.911848973,0.957,0.885,6.16E-253,Uncilicated Epithelium RIF Vs Ctrl,RPL23
1.16E-224,0.90907075,0.88,0.694,2.07E-220,Uncilicated Epithelium RIF Vs Ctrl,SNRPF
5.97E-75,0.904262265,0.745,0.564,1.07E-70,Uncilicated Epithelium RIF Vs Ctrl,MYO1E
1.37E-19,0.885832553,0.451,0.365,2.45E-15,Uncilicated Epithelium RIF Vs Ctrl,RIMKLB
1.35E-82,0.883392765,0.494,0.247,2.41E-78,Uncilicated Epithelium RIF Vs Ctrl,CRELD2
6.80E-119,0.878905546,0.831,0.693,1.22E-114,Uncilicated Epithelium RIF Vs Ctrl,HMGN2
1.05E-18,0.876795303,0.713,0.602,1.87E-14,Uncilicated Epithelium RIF Vs Ctrl,PDIA4
1.37E-144,0.875347255,0.711,0.419,2.44E-140,Uncilicated Epithelium RIF Vs Ctrl,CKS2
7.54E-259,0.867626287,0.938,0.837,1.35E-254,Uncilicated Epithelium RIF Vs Ctrl,TMA7
9.28E-127,0.867520014,0.808,0.656,1.66E-122,Uncilicated Epithelium RIF Vs Ctrl,RANBP1
